eeschema (2013-04-19 BZR 4011)-stable  >> Creation date: 3/8/2015 7:56:23 PM
#Cmp ( order = Reference )
| C1         20pF        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C2         20pF        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C3         100nF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C4         100nF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C5         100nF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C6         100nF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C7         100nF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C8         100nF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C9         4.7nF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C10        100nF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C11        100nF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C12        4.7uF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C13        10uF        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C14        4.7uF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C15        100nF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C16        4.7uF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C17        100nF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| CON1       BARREL_JACK ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CON2       USB-MINI-B  ;             ;             ;             ;             ;             ;             ;             ;             ;             
| IC1        ATXMEGA256A3BU-A; TQFP64      ;             ;             ;             ;             ;             ;             ;             ;             
| J1         ATMEL_PDI_HEADER; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| L1         220ohms     ; ~           ; BLM18AG221SN1D;             ;             ;             ;             ;             ;             ;             
| LED_5V1    LED         ; ~           ; LB Q39G-L2N2-35-1;             ;             ;             ;             ;             ;             ;             
| LED_D5     LED         ; ~           ; LB Q39G-L2N2-35-1;             ;             ;             ;             ;             ;             ;             
| MNT1       4_40_HOLE   ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| MNT2       4_40_HOLE   ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| MNT3       4_40_HOLE   ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| MNT4       4_40_HOLE   ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| P1         CONN_30     ;             ;             ;             ;             ;             ;             ;             ;             ;             
| P2         CONN_4      ;             ;             ;             ;             ;             ;             ;             ;             ;             
| P3         CONN_4      ;             ;             ;             ;             ;             ;             ;             ;             ;             
| P4         CONN_30     ;             ;             ;             ;             ;             ;             ;             ;             ;             
| P5         CONN_2      ;             ;             ;             ;             ;             ;             ;             ;             ;             
| P6         CONN_2      ;             ;             ;             ;             ;             ;             ;             ;             ;             
| P7         CONN_2      ;             ;             ;             ;             ;             ;             ;             ;             ;             
| P8         CONN_2      ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R1         zero        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R2         10K         ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R3         1M          ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R4         800          ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R5         100         ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R6         100         ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R7         800          ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| SW1        RESET       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| SW2        SPDT        ; ~           ; 103-12100-EV;             ;             ;             ;             ;             ;             ;             
| SW3        BOOTLOADER  ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| U1         USBLC6-2    ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| U2         OKI-78SR-3.3/1.5-W36H-C; ~           ; LM3940IT-3.3/NOPB, OKI-78SR-3.3/1.5-W36H-C, R-783.3-0.5, P7805-Q24-S3-S, R-783.3-1.0, V7803-1000R;             ;             ;             ;             ;             ;             ;             
| X1         32.768kHz, 12.5pF; ~           ; AB26TRB-32.768KHZ-T;             ;             ;             ;             ;             ;             ;             
| Z1         LOGO        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
#End Cmp

#Cmp ( order = Value )
| 20pF         C1        DNP ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 20pF         C2        DNP ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 4.7nF        C9        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C3        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C4        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C5        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C6        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C7        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C8        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C10       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C11       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C15       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C17       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
